id,forecastVolum
1,258
2,309
3,162
4,246
5,368
6,181
7,442
8,190
9,2566
10,317
11,645
12,178
13,327
14,320
15,635
16,392
17,305
18,270
19,598
20,110
21,287
22,243
23,380
24,368
25,279
26,256
27,702
28,493
29,1029
30,385
31,6691
32,809
33,1901
34,449
35,942
36,842
37,1700
38,838
39,632
40,1149
41,1573
42,248
43,399
44,619
45,152
46,305
47,213
48,327
49,376
50,134
51,367
52,168
53,1438
54,192
55,415
56,121
57,370
58,292
59,401
60,247
61,230
62,114
63,464
64,154
65,243
66,240
67,156
68,293
69,166
70,116
71,397
72,241
73,387
74,186
75,3997
76,405
77,868
78,317
79,419
80,497
81,1192
82,508
83,508
84,560
85,434
86,138
87,252
88,190
89,212
90,3435
91,557
92,115
93,1305
94,1842
95,4033
96,1800
97,1734
98,2211
99,2250
100,775
101,4120
102,4438
103,1696
104,1297
105,1434
106,418
107,1097
108,269
109,2134
110,463
111,356
112,513
113,537
114,86
115,1063
116,1230
117,2205
118,604
119,5311
120,629
121,1726
122,853
123,2585
124,2908
125,1107
126,1294
127,1550
128,380
129,364
130,562
131,598
132,418
133,1097
134,250
135,197
136,1185
137,335
138,385
139,1185
140,329
141,1152
142,146
143,1109
144,227
145,762
146,853
147,940
148,313
149,229
150,211
151,373
152,159
153,335
154,240
155,348
156,96
157,47
158,91
159,295
160,447
161,340
162,66
163,335
164,119
165,956
166,232
167,212
168,341
169,609
170,260
171,242
172,161
173,67
174,98
175,151
176,29
177,864
178,336
179,294
180,399
181,937
182,960
183,1198
184,423
185,954
186,313
187,1499
188,928
189,728
190,1093
191,970
192,1088
193,1067
194,442
195,315
196,416
197,397
198,158
199,825
200,419
201,372
202,85
203,1598
204,2639
205,3807
206,797
207,1722
208,856
209,3991
210,2215
211,2436
212,3554
213,2837
214,1947
215,1748
216,993
217,429
218,478
219,737
220,168
221,115
222,377
223,266
224,211
225,1060
226,741
227,2041
228,744
229,1517
230,716
231,1023
232,780
233,1562
234,2551
235,2303
236,915
237,1013
238,691
239,229
240,522
241,1612
242,132
243,63
244,480
245,335
246,63
247,918
248,652
249,1460
250,918
251,1165
252,591
253,610
254,618
255,1905
256,1755
257,694
258,565
259,779
260,301
261,411
262,406
263,983
264,289
265,112
266,991
267,597
268,61
269,1551
270,1159
271,2499
272,887
273,1067
274,651
275,1273
276,993
277,2496
278,2505
279,1004
280,1136
281,1064
282,490
283,326
284,471
285,823
286,506
287,326
288,1610
289,1009
290,257
291,3115
292,2546
293,4152
294,968
295,2939
296,909
297,3644
298,1499
299,3433
300,5099
301,2953
302,2176
303,2461
304,834
305,1121
306,1001
307,1268
308,689
309,593
310,433
311,465
312,655
313,746
314,979
315,1277
316,656
317,498
318,159
319,1571
320,358
321,1509
322,1174
323,726
324,340
325,497
326,258
327,173
328,380
329,553
330,82
331,58
332,1178
333,794
334,237
335,2475
336,416
337,3102
338,1082
339,1964
340,423
341,681
342,360
343,3250
344,2012
345,585
346,460
347,1009
348,449
349,1166
350,197
351,742
352,1486
353,1788
354,1405
355,609
356,354
357,2603
358,2569
359,3592
360,1453
361,1529
362,551
363,3926
364,1790
365,3930
366,4258
367,2066
368,1611
369,2137
370,1188
371,606
372,893
373,1405
374,277
375,275
376,759
377,859
378,97
379,1324
380,1375
381,4138
382,2208
383,529
384,235
385,1476
386,400
387,4414
388,2624
389,637
390,258
391,486
392,320
393,949
394,285
395,957
396,685
397,308
398,440
399,487
400,880
401,1081
402,678
403,1856
404,458
405,963
406,294
407,1253
408,384
409,1782
410,1637
411,839
412,597
413,560
414,471
415,712
416,400
417,559
418,798
419,299
420,219
421,70
422,95
423,290
424,353
425,475
426,59
427,384
428,114
429,549
430,258
431,276
432,270
433,534
434,249
435,328
436,186
437,122
438,149
439,112
440,101
441,410
442,516
443,514
444,297
445,2111
446,1432
447,2196
448,541
449,1091
450,342
451,2561
452,569
453,2995
454,2740
455,2008
456,824
457,749
458,589
459,695
460,380
461,626
462,589
463,585
464,240
465,239
466,403
467,559
468,536
469,1495
470,213
471,530
472,165
473,1883
474,279
475,1338
476,992
477,1632
478,328
479,330
480,275
481,236
482,102
483,318
484,219
485,31
486,47
487,58
488,33
489,139
490,359
491,600
492,259
493,81
494,73
495,193
496,67
497,577
498,327
499,62
500,149
501,146
502,33
503,123
504,65
505,115
506,89
507,551
508,226
509,76
510,519
511,528
512,322
513,434
514,105
515,993
516,145
517,1182
518,220
519,318
520,308
521,1060
522,302
523,270
524,393
525,216
526,236
527,203
528,60
529,294
530,169
531,90
532,229
533,319
534,218
535,300
536,99
537,503
538,120
539,715
540,146
541,204
542,210
543,672
544,249
545,208
546,252
547,130
548,139
549,140
550,57
551,524
552,229
553,110
554,634
555,437
556,258
557,424
558,141
559,976
560,148
561,899
562,190
563,268
564,262
565,802
566,355
567,260
568,306
569,231
570,203
571,202
572,77
573,158
574,42
575,22
576,109
577,111
578,94
579,184
580,25
581,157
582,31
583,367
584,33
585,106
586,89
587,359
588,62
589,58
590,44
591,52
592,31
593,53
594,15
595,576
596,215
597,162
598,511
599,599
600,434
601,590
602,159
603,811
604,146
605,1229
606,289
607,443
608,429
609,1505
610,407
611,405
612,261
613,407
614,210
615,320
616,146
617,334
618,163
619,127
620,213
621,313
622,235
623,414
624,113
625,524
626,119
627,789
628,174
629,272
630,241
631,899
632,315
633,257
634,210
635,128
636,109
637,137
638,65
639,446
640,235
641,151
642,725
643,489
644,318
645,573
646,142
647,1070
648,181
649,1029
650,260
651,413
652,376
653,1101
654,418
655,391
656,282
657,344
658,172
659,275
660,118
661,518
662,245
663,75
664,485
665,476
666,382
667,423
668,86
669,1112
670,160
671,1168
672,207
673,366
674,341
675,1697
676,299
677,368
678,296
679,220
680,214
681,209
682,75
683,223
684,654
685,182
686,99
687,426
688,1110
689,2502
690,523
691,3427
692,2356
693,1886
694,495
695,1539
696,4299
697,959
698,528
699,953
700,331
701,492
702,168
703,746
704,392
705,560
706,242
707,358
708,64
709,660
710,379
711,949
712,235
713,204
714,96
715,1261
716,328
717,727
718,651
719,619
720,222
721,400
722,238
723,85
724,119
725,791
726,93
727,441
728,168
729,73
730,109
731,205
732,149
733,332
734,73
735,124
736,43
737,459
738,79
739,225
740,245
741,305
742,100
743,147
744,95
745,49
746,97
747,138
748,36
749,211
750,84
751,105
752,422
753,464
754,252
755,733
756,219
757,2292
758,308
759,804
760,271
761,531
762,325
763,683
764,627
765,466
766,626
767,259
768,324
769,210
770,110
771,204
772,337
773,448
774,530
775,739
776,252
777,715
778,334
779,2026
780,317
781,602
782,297
783,898
784,694
785,600
786,1136
787,601
788,360
789,635
790,437
791,528
792,333
793,87
794,156
795,122
796,46
797,349
798,201
799,286
800,111
801,830
802,215
803,524
804,288
805,289
806,438
807,509
808,219
809,353
810,211
811,170
812,125
813,108
814,86
815,257
816,289
817,469
818,229
819,1055
820,665
821,2918
822,1311
823,6784
824,2200
825,2543
826,1461
827,2506
828,2327
829,1582
830,1364
831,1716
832,1261
833,1699
834,428
835,381
836,801
837,232
838,328
839,282
840,326
841,376
842,414
843,991
844,407
845,2592
846,297
847,733
848,314
849,781
850,1099
851,761
852,1279
853,490
854,470
855,752
856,193
857,365
858,434
859,157
860,286
861,227
862,131
863,356
864,389
865,575
866,283
867,2067
868,275
869,752
870,316
871,514
872,631
873,739
874,752
875,362
876,410
877,381
878,140
879,228
880,256
881,147
882,13
883,23
884,189
885,35
886,52
887,244
888,95
889,643
890,20
891,286
892,29
893,214
894,141
895,339
896,49
897,30
898,58
899,109
900,16
901,21
902,36
903,211
904,279
905,142
906,133
907,399
908,273
909,601
910,216
911,2878
912,294
913,657
914,269
915,540
916,434
917,824
918,498
919,417
920,512
921,345
922,148
923,170
924,163
925,324
926,127
927,206
928,345
929,327
930,305
931,873
932,353
933,2403
934,135
935,860
936,225
937,782
938,578
939,1319
940,487
941,450
942,404
943,780
944,133
945,209
946,385
947,222
948,56
949,50
950,279
951,205
952,103
953,198
954,40
955,289
956,28
957,202
958,59
959,133
960,108
961,106
962,109
963,107
964,86
965,81
966,103
967,97
968,52
969,109
970,80
971,60
972,13
973,170
974,373
975,377
976,108
977,324
978,55
979,561
980,304
981,281
982,484
983,638
984,236
985,208
986,159
987,41
988,20
989,77
990,29
991,25
992,81
993,43
994,36
995,137
996,171
997,354
998,25
999,111
1000,19
1001,338
1002,132
1003,311
1004,284
1005,360
1006,175
1007,205
1008,75
1009,92
1010,29
1011,122
1012,47
1013,340
1014,124
1015,52
1016,133
1017,736
1018,647
1019,759
1020,146
1021,977
1022,192
1023,2080
1024,478
1025,492
1026,1737
1027,1607
1028,480
1029,505
1030,432
1031,153
1032,297
1033,250
1034,61
1035,40
1036,178
1037,338
1038,29
1039,408
1040,263
1041,1401
1042,773
1043,307
1044,260
1045,358
1046,165
1047,1869
1048,930
1049,587
1050,186
1051,273
1052,237
1053,574
1054,80
1055,322
1056,350
1057,343
1058,270
1059,229
1060,229
1061,541
1062,912
1063,840
1064,234
1065,655
1066,154
1067,1225
1068,634
1069,909
1070,1501
1071,1876
1072,574
1073,451
1074,291
1075,162
1076,230
1077,366
1078,99
1079,164
1080,186
1081,42
1082,49
1083,299
1084,281
1085,479
1086,84
1087,385
1088,128
1089,687
1090,199
1091,489
1092,427
1093,452
1094,202
1095,179
1096,227
1097,68
1098,120
1099,158
1100,40
1123,408
1124,229
1125,54
1126,88
1127,692
1128,734
1129,473
1130,70
1131,1463
1132,248
1133,1255
1134,399
1135,440
1136,623
1137,1066
1138,473
1139,421
1140,549
1141,100
1142,351
1143,188
1144,55
1145,264
1146,300
1147,164
1148,365
1149,483
1150,215
1151,544
1152,149
